rnum,bizId,polyBizSecd,polyBizTy,polyBizSjnm,polyItcnCn,sporCn,sporScvl,bizPrdCn,prdRpttSecd,rqutPrdCn,ageInfo,majrRqisCn,empmSttsCn,splzRlmRqisCn,accrRqisCn,prcpCn,aditRscn,prcpLmttTrgtCn,rqutProcCn,pstnPaprCn,jdgnPresCn,rqutUrla,rfcSiteUrla1,rfcSiteUrla2,mngtMson,mngtMrofCherCn,cherCtpcCn,cnsgNmor,tintCherCn,tintCherCtpcCn,etct,polyRlmCd
357,R2024061023803,003002014005,지자체,2024년 청년 전․월세보증금 이자 추가 지원사업,공고일 기준 구미시에 주민등록을 둔 무주택 미혼 청년으로 금융기관에서 전세보증금 대출 후 2022.1.1.~신청일 사이에 이자를 6개월 이상 상환한 자 (이혼청년 포함),"□ 지원내용 : 최대 80만원 [공고일기준 대출잔액 1% 지원] 
※생애 1회 ",150명 정도 (250명까지 모집 후 종료),2024-06-12~2024-08-31,002004,"2024-06-12~2024-07-31
2024-06-12~2024-07-31",제한없음,-,-,제한없음,-,"□ 지원대상 : 공고일 기준 구미시에 주민등록을 둔 미혼 무주택 청년으로 금융기관에서 전세보증금 대출 후 2022.1.1.~신청일 사이에 이자를 6개월 이상 상환한 자 
‣ 청년기준(19~39세) 1985.1.1. ~ 2005.12.31.일 출생
‣ 연소득 4천5백만원 이하 
‣ 대출 시 용도가 전월세(임대)자금으로 명기된 경우에 한함
‣ 청년 세대주 외 세대원이 있는 경우(이혼) 주민등록상 세대원 전원 무주택자 기준 충족
‣ 국가 및 지자체 월세지원사업 수혜 중인자 제외
 ※ 주택도시기금지원사업(버팀목전세자금, 중소기업취업청년전월세보증금대출 등), 공공임대주택, 정부 및 지자체 전세지원사업 수혜 중인자 신청가능  

대상주택 - 임차보증금 2억5천만원 이하, 전․월세 전환율 6.0%이하 구미시 소재의 주택 ",※ 주택도시기금지원사업 대출자(버팀목 등) 신청가능,"□ 지원 제외 대상 
- 청년 본인 연소득 4.5천만원 초과 
- 국민기초생활보장수급자 (생계, 의료, 주거, 교육급여 대상자) 
- 주택 소유자(주거용 오피스텔포함), 분양권 또는 조합원 입주권이 있는 사람 
- 국가 및 지자체 월세지원사업 수혜 중인자
‣ 청년월세 한시 특별지원사업 수혜 중인자 
‣ 구미시 자체 월세지원사업 수혜 중인자
- 임대인이 신청인의 직계존비속인 경우 
- 국가 및 지방자치단체 공무원(임기제), 공무직 직원
- 기타 사업 취지에 부합하지 않다고 판단되는 경우 ",-,1. 신청서 2.개인정보동의서 3.임대차계약서 4.금융거래확인서(대출금) 5.지방세세목별미과세증명서 6.소득금액증명원 7.통장사본 8.주민등록등본 9.가족관계증명서(일반),"2024.8.7 ~ 2024.8.9 (예정)

□ 대상자 선정 및 결과통보
 - 선정방법 : 제출서류 검토 후 자격요건 부합 시 선정 
‣ 예산 초과시 배점표에 따라 총점 고득점자 순으로 우선 선정
 ① 주택도시기금(버팀목 등), 공공임대주택, 정부 지자체 전세지원 미수혜자
 ② 소득기준 낮은 순
 ③ 임차보증금액 낮은 순 
④ 구미시 거주기간
 ※ 동점자 처리기준 ⇒ 구미시 장기거주자 우선",http://gbyouth.co.kr/policy/list.tc?mn=2379&pageNo=5069&no=642,http://gbyouth.co.kr/policy/list.tc?mn=2379&pageNo=5069&no=642,-,구미시청 인구청년과,-,구미시 인구청년과 054) 480-2521,구미시청 인구청년과,-,구미시 인구청년과 054) 480-2521,-,023020
358,R2024060523748,003002015001,지자체,창원시 청년 누비자 이용요금 지원사업(예산 소진으로 모집 완료),창원시에 거주하는 청년들의 문화복지 증진 및 누비자 이용 활성화,"□ 지원내용 : 누비자 연회원 이용요금 지원(1인당 30,000원)
□ 지급방법 : 창원시 누비자 운영센터에서 일괄서비스 지급(신청일 기준 익월 10일 지급)","□ 모집인원 : 1,500명",-,002004,"2024-03-04~2024-11-30
2024. 3. 4.(월) 09:00 ~ 11. 30.(토) 24:00 *예산 소진 시까지",만 19세 ~ 39세,-,-,-,-,□ 지원대상 : 신청일 기준 창원시에 주소를 둔 19세~39세 이하 청년(1984. 1. 1.~2005. 12. 31.출생자),공고문 참고,2023년 청년 누비자 이용요금 지원사업 선정자 지원 제외,"□ 신청방법 : 온라인 접수(창원청년정보플랫폼 ▶ 청년지원 ▶ 온라인 신청·접수)
□ 신청절차 
① 창원시 누비자 앱에서 회원가입 * 반드시 본인 명의
② 창원청년정보플랫폼(https://www.changwon.go.kr/youth/youth.web) 신청 접수
(창원청년정보플랫폼 ▶ 청년지원 ▶ 온라인 신청·접수)",공고문 참고,"□ 선정기준
○ (선착순) 신청일 기준 창원시 거주 및 19세 ~ 39세 이하 청년  
○ (선정 제외) 누비자 회원가입(본인 명의) 미이행 시 
※ 지원 대상 확정 후 개별 통보(창원시 알림톡 등)",https://www.changwon.go.kr/youth/youth.web,https://www.changwon.go.kr/youth/05085/05105.web?amode=view&idx=35,null,창원시 청년정책담당관 청년지원팀 (☎ 055-225-4573),-,-,주관기관과 동일,-,-,공고문 참고,023040
359,R2024060523766,003002015001,지자체,창원시 집단상담 마음챙김-자기돌봄 참가자 모집,창원시가족센터 집단상담 마음챙김-자기돌봄 참가자 모집,"□ 지원내용
○ 일시 : 2024. 6. 26. ~ 7. 17. 매주 수요일 10:00~12:00 (총 4회기)
○ 장소 : 여성회관 창원관 5층 교육실
○ 강사 : 여순화(P&I 교육코칭연구소)
○ 내용 : 나(기질) 이해를 통한 자기 치유
※애니어그램 성격유형 검사 및 해석 등",16명,-,002004,"2024-06-12~2024-06-25
2024. 6. 12.(수)부터 홈페이지 선착순 접수",제한없음,-,-,-,-,창원특례시민,-,-,□ 접수방법 : 창원시가족센터 홈페이지 → 회원가입 → 프로그램 안내 → 프로그램 신청,-,-,https://changwon.familynet.or.kr/web/lay1/program/S1T304C450/recruitReceipt/view.do?seq=158346,https://www.changwon.go.kr/cwportal/10310/10429/10430.web?gcode=1009&idx=800149&amode=view&,null,"창원시가족센터 (055-225-3951, 3942)",-,-,주관기관과 동일,-,-,-,023040
360,R2024060523765,003002015001,지자체,창원시 청년 내일통장 참여자 모집,창원시에 거주하는 근로청년의 안정적인 미래 준비와 자립 지원,"□ 지원내용 : 매월 본인 저축금액 매칭하여 동일금액 적립 지원
□ 저축금액 : 월 30만원 (본인 납입 15만원 + 시 지원금 15만원)
□ 저축기간 : 2년 / 3년 선택 ※ 만기 전 해약시 본인 적립금만 지급
□ 만기금액 : (2년) 720만원 + 이자, (3년) 1,080만원 + 이자
□ 저축용도 : 주거비, 결혼자금, 교육·훈련비, 학자금 대출상환 등",□ 모집인원 : 100명,-,002004,"2024-06-03~2024-06-14
2024. 6. 3.(월) 09:00 ~ 14.(금) 18:00 ※ 공휴일 제외",만 19세 ~ 39세,-,-,-,-,"□ 신청자격 : 아래의 모든 요건 충족되어야 함
○ 연령 : 19세 ~ 39세 (1984. 1. 1. ~ 2005. 12. 31. 출생자)
○ 주소 : 신청일 현재 창원시에 주민등록 주소를 두고 있는 자
○ 근로여부 : 신청일 현재 고용보험 가입된 근로자
○ 소득기준*
- 본  인 : 기준 중위소득 120% 이하인 자 
‣ 건강보험료(직장가입자) 본인부담금 월95,183원 이하 ※ 노인장기요양보험료 제외
- 가구원 : 기준 중위소득 120% 이하인 자 
‣ 주민등록등본에 등재된 신청자의 부모, 배우자, 자녀, 배우자의 부모, 18세 미만의 형제·자매 ※ 단, 배우자와 자녀는 주민등록을 달리하더라도 가구원에 포함
*건강보험료 가입자부담금 기준으로 2024년 5월 납부액 기준",공고문 참고,"□ 제외대상 : 다음 각 호의 어느 하나에 해당하는 청년은 가입대상에서 제외
1) 중앙부처 및 지자체의 유사 자산형성지원사업에 참여중이거나 참여한 이력이 있는 자. 단, 유사사업 가입 후 지원금을 일체 받지 않고 중도해지한 경우에는 신청 가능
▸(중앙부처) 고용노동부 청년내일채움공제, 중소벤처기업부 청년재직자내일채움공제, 보건복지부 희망저축계좌 Ⅰ·Ⅱ, 청년내일저축계좌 등
▸(지자체) 서울시 희망두배 통장, 경기도 청년 노동자 통장, 부산 청년 기쁨두배 통장, 대구 청년희망적금, 경남 모다드림 청년통장 등
2) 창원 청년 내일 통장사업 기 수혜자. 단, 시 지원금을 일체 받지 않고 중도해지한 경우에는 신청 가능하나 이 경우에도 중도해지 이력이 2회 이상인 자는 신청 불가.
3) 사업주 및 자영업자, 외국인, 해외취업자
4) 근로장학생, 군복무자 및 군복무대체근무자(산업기능요원, 사회복무요원 등)
5) 사치·향락·도박·사행 등 비사회적 업종 종사자
6) 기초생활수급자 및 법정 차상위계층*
* 중위소득 50% 이하의 계층으로, 기초생활보장법 수급 대상은 아니지만 그 윗단계인 잠재적인 빈곤층","□ 신청방법
○ 온라인 접수
- 접수처 게시판의 「2024년 청년내일통장 참여자 모집」 본인인증 후 신청 접수
- 제출서류 첨부 필수 ※ 제출서류 미비시 보완요청 및 반려될 수 있음
○ 방문접수
- 평일 근무시간(09:00~18:00)에 한하여 본인 직접신청 원칙 
- 단, 부득이한 경우 동일 가구원에 한하여 위임장 [서식 3] 작성하여 대리 접수 가능. 대리 접수 시 신청자의 신분증(사본 가능)과 대리자의 신분증(원본) 지참

□ 접수처
- 온라인 접수: 창원청년정보플랫폼(www.changwon.go.kr/youth/youth.web) → 온라인 신청·접수 게시판
- 방문 접수: 주민등록 상 주소지 읍·면·동 행정복지센터","□ 제출서류  ※ 모든 서류는 공고일 이후에 발급된 것만 인정됨
① 본인 및 가구원* 건강보험자격확인서
* 주민등록상 동일 세대원 중 신청자 직장건강보험 피부양자로 등재되지 않은 배우자, 자녀, 부모, 배우자의 부모, 18세 이하 형제자매를 말함
② 본인 및 가구원* 건강보험료 납부확인서(※ 2024년 5월분)
* 신청인 주민등록등본상 동일 세대원 중 건강보험가입자인 배우자, 부모, 배우자의 부모 단, 배우자의 경우 주소를 달리하더라도 건강보험 가입자인 경우 제출 
③ 가족관계증명서(※ 신청자 기준, 주민등록번호 공개)
④ 청년 내일통장 참여 신청서 [서식1] * 온라인접수는 제출 불필요
⑤ 개인정보 수집·이용·제공 및 고유식별정보 처리에 관한 동의서 [서식2] * 온라인접수는 제출 불필요
⑥ 재직증명서 및 근무지 사업자등록증 사본 * 고용보험에 가입되어 있지 않은 경우에 한하여 제출
▸ 재직증명서는 사업장 직인 날인된 것만 인정","□ 선정기준
○ 신청자의 직장가입자 건강보험료 본인부담금※노인장기요양보험료 제외이 낮은 가구, 근로기간, 창원시 거주기간, 부양가족수 등을 산정하여 고득점자 순으로 선정
○ 동점자 발생 시 처리 기준
① 부양가족 수가 많은 자
② 청년 본인 건강보험료가 적은 자 

□ 선정자 발표
○ 발표(예정)일 : 2024. 6. 24.(월) (※사정에 따라 변경될 수 있음)
○ 방법 : 창원시청 홈페이지 내『고시공고』게시판에 게재
(※ 접수완료 시 교부받은 접수번호로 선정자 발표)",https://www.changwon.go.kr/youth/05085/05111/05112.web?amode=view&infoSno=43,https://www.changwon.go.kr/youth/05085/05105.web?amode=view&idx=101,https://www.changwon.go.kr/cwportal/10310/10438/10439.web?amode=view&not_ancmt_mgt_no=181763&cpage=10&section=gosi,창원시 청년정책담당관(☎055-225-4605),-,-,"창원시 민원콜센터(☎1899-1111), 주소지 읍면동 행정복지센터",-,-,공고문 참고,023040
361,R2024060523746,003002015001,지자체,창원시 신혼부부 주택구입 대출이자 지원사업,창원시 신혼부부의 주택구입 대출이자에 대한 주거비 부담완화와 안정적 정주여건 조성,"□ 지원내용 : 주택구입 대출잔액(5천만원한도)의 이자지원(3%이내) 
□ 지원금액 : 2023. 7월 ~ 2024. 6월까지 납부한 이자금액(최대 150만원) 
- 2023. 7월 ~ 12월까지 납부한 이자금액(최대 75만원)
- 2024. 1월 ~ 6월까지 납부한 이자금액(최대 75만원)
□ 지원기간 : 매년 신규신청 접수,연 1회(상·하반기 포함 요건 충족 시 최장 5년간 지원)  
□ 지급방법 : 대상자 계좌입금
□ 지급일 : 2024. 8월限 (일정은 변경될 수 있으며, 대상자 선정 결과는 개별문자 통보)",-,-,002004,"2024-07-01~2024-07-19
2024. 7. 1.(월) ~ 7. 19.(금) 09:00~18:00 (토요일,공휴일 제외)",제한없음,-,-,-,-,"□ 지원대상 : 창원시에 주택을 구입하여 살고있는 신혼부부  

□ 신청자격 : 다음 각 항목의 모든 요건을 충족
1. 혼인관계증명서 상 혼인신고일이 5년 이내인 가구* 
- 23. 7월~12월 납부한 이자액 지원 (상반기 지원기준자) : 2019. 3. 8. 이후 혼인신고
- 24. 1월~6월 납부한 이자액 지원 (하반기 지원기준자) : 2019. 9. 8. 이후 혼인신고 
* 경상남도 공고기준에 의한 혼인기간 설정
2. 공고일 기준 신청인이 해당 주택에 주민등록상 거주
3. 공고일 기준 전국 기준 1주택(세대구성원 합산) 가구
4. 소득기준 : 부부 합산 연소득 8,000만원 이하(2023년 귀속분 소득기준)
5. 주택기준
① 전용면적 85m2이하 주택(도시지역이 아닌 읍·면 지역 100m2이하)
② 주택가격 4억원 이하(매매계약서 기준)
③ 단독주택, 다가구주택, 다세대주택, 연립주택, 아파트, 주거용 오피스텔*
*오피스텔은 건축법 시행령 별표1에 따르면 업무시설 용도에 포함되므로 재산세 과세 자료 등 활용하여 주거용 여부 확인
④ 혼인신고일 이후 주택 구입(구입일은 등기 접수일 기준, 분양권은 계약일 기준)
6. 대출기준 
- 주택 구입 대출을 받은 신혼부부(공동명의인 경우 1인)
- 대출용도가 ‘주택자금 또는 주택구입목적자금’만 해당
※ 신용, 일반대출, 마이너스대출의 경우 주택자금 용도로 사용하더라도 지원 불가",공고문 참고,"□ 지원 제외 대상
- 국민기초생활수급자(생계, 의료, 주거급여 수급자)
- 본인 또는 배우자의 직계존비속·형제자매 등과 매매계약 체결한 자
- 도내 지자체(의령, 함안, 창녕, 고성, 남해, 하동, 산청, 함양, 거창, 합천)에서 주택구입자금 대출이자 당해연도에 지원 받은 자
- 당해연도에 신혼부부 전세자금 대출이자 지원 받은 자
- 대출 용도가 주거 자금이 아닌 자(일반, 신용, 마이너스 대출 제외)
- 금융기관에서 대출을 받지 않은 자
예)금융기관이 아닌 회사 등에서 직원복지차원으로 제공하는 주택구입대출을 받은자 
- 그 밖에 신혼부부 주택구입 대출이자 지원사업에 적합하지 않다고 판단되는 경우","□ 신청방법 
- (방문신청) 주소지 읍·면·동 행정복지센터 방문 신청 (토요일, 공휴일 제외)  
- (온라인) 경남바로서비스(https://baro.gyeongnam.go.kr/)를 통한 신청",공고문 참고,"□ 선정방법 : 자격요건 충족 신청자
※ 지원금액 초과 시 우선순위 배점표에 따라 고배점순으로 선정
※ 동점자일 경우 우선순위
1. 자녀수가 많은 가구
2. 부부합산 연소득이 낮은 가구",https://baro.gyeongnam.go.kr/baro/serviceView.es?service_no=255&mid=a10202000000,https://www.changwon.go.kr/cwportal/10310/10438/10439.web?amode=view&not_ancmt_mgt_no=181742&cpage=3&section=gosi,null,창원시청 도시정책국 주택정책과 주거복지담당 (☎055-225-4221),-,-,읍면동 행정복지센터,-,-,공고문 참고,023020
362,R2024060523764,003002015007,지자체,김해시 민간참여형 청년주택 입주자 및 예비입주자 모집,청년계층 1인 가구의 주거난 해소와 주거비 절감을 위해 운영하는 민간참여형 청년주택,"※ 거북이집이란?
경남 청년들에게도 거북이처럼 1인 1주택을 만들어 주겠다는 의지로 아직은 느릿느릿 앞으로 가고 있지만 언젠가는 토끼를 넘어설 거라는 희망을 주는 집

□ 공급현황
○ 공급규모 : 1호 [※ 103호]
- 위치 : 경상남도 김해시 삼안로 196번길 12-18(삼방동)
○ 거주기간 : 계약일로부터 최소 2년(2027년 3월까지 반값 임대)
○ 임대료 : 공고문 참고
※ 관리비(최초 입주 1인당 2만원) 및 수도(입주인원 1/인원수)·전기·가스요금 등 공과금 입주자 부담

□ 모집인원 : 우선 입주자 : 1명, 예비 입주자 : 00명
○ 향후 공가(계약 포기자 및 해약세대 발생 등)가 발생할 것에 대비하여 예비입주자를 모집하며, 공가세대 발생 시 현재 입주세대 신청순위 우선으로 협의 함
○ 예비입주자로 선정되었다 하더라도 거주중인 임차인의 퇴거 등 상황에 따라  입주까지는 상당기간이 소요될 수 있음",-,-,002001,"
2024. 5. 30.(목) ~ 모집인원 완료시까지 수시접수",만 19세 ~ 39세,-,-,-,-,"□ 신청대상 : 입주자 모집 공고일(2024. 5. 30.) 현재 만19세 이상 만39세 이하의 청년으로 전년도 도시근로자 월평균소득의 120% (4,179,557원)이하인 자",공고문 참고,공고문 참고,"□  신청방법 : 제출서류 구비하여 방문 신청
- 김해시 김해대로 2401, 김해시청 행복민원청사 5층(공동주택과) 
- 입주자 및 예비입주자 상시 모집, 접수",공고문 참고,"□ 입주자 선정
○ 선정방법 : 서류심사 → 선착순 접수에 따른 우선배정
- (1차) 제출서류(나이 및 소득) 평가
- (2차) 선착순 접수에 따른 우선배정
○ 입주조건 : 전입신고 및 거북이집 공동생활규칙(붙임 3) 준수 
○ 입주일 : 계약일 이후 1개월 이내",null,https://www.gimhae.go.kr/03360/00023/00029.web?amode=view&not_ancmt_mgt_no=91300&cpage=4&section=01,null,김해시청 공동주택과 저소득주거지원팀(☎ 055-330-4318),-,-,주관기관과 동일,-,-,공고문 참고,023020
363,R2024060523763,003002015007,지자체,김해시 상·하반기 신혼부부 주택구입 대출이자 지원사업,김해시 신혼부부의 주택구입 대출이자에 대한 주거비 부담 완화와 안정적 정주여건 조성,"□ 지원내용 : 주택구입 대출잔액(5천만원한도)의 이자지원(3%이내)
□ 지원금액
- (상반기 지원) 2023. 7월~12월까지 납부한 이자금액(최대 75만원)
- (하반기 지원) 2024. 1월~6월까지 납부한 이자금액(최대 75만원)
□ 지원기간 : 2024년 상·하반기 신규신청 접수(요건 충족 시 최장 5년간 지원)
□ 지급방법 : 사업대상자 계좌입금",□ 사업량 : 150가구 정도,-,002004,"2024-07-01~2024-07-19
2024. 7. 1.(월) ~ 2024. 7. 19.(금) 09:00~18:00",제한없음,-,-,-,-,"□ 지원대상 : 김해시 내 주택을 구입하여 살고 있는 신혼부부

□ 신청자격 : 다음 각 항목의 모든 요건을 충족
1. 혼인관계증명서 상 혼인신고일이 5년 이내인 가구
(상반기 지원기준자: 2019. 3. 8. 이후 혼인신고)
(하반기 지원기준자: 2019. 9. 8. 이후 혼인신고)
2. 공고일 기준 신청인이 해당주택에 주민등록 상 거주
3. 공고일 기준 전국 기준 1주택(세대구성원 합산) 가구
4. 소득기준 : 부부 합산 연소득 8,000만 원 이하(2023년 귀속분 소득기준)
5. 주택기준
① 전용면적 85m2이하 주택(도시지역이 아닌 읍·면 지역 100m2이하)
② 주택가격 4억원 이하(매매계약서 기준)
③ 단독주택, 다가구주택, 다세대주택, 연립주택, 아파트, 주거용 오피스텔*
* 오피스텔은 건축법 시행령 별표1에 따르면 업무시설 용도에 포함되므로 재산세 과세 자료 등 활용하여 주거용 여부 확인
④ 혼인신고일 이후 주택 구입(구입일은 등기 접수일을 기준)
6. 대출용도 : ‘주택자금’ 또는 ‘주택구입목적자금’ 용도만 해당
- 신용, 일반대출, 마이너스대출의 경우 주택자금 용도로 사용하더라도 지원불가",공고문 참고,"□ 지원 제외 대상
- 국민기초생활수급자(생계, 의료, 주거급여 수급자)
- 본인 또는 배우자의 직계존비속·형제자매 등과 매매계약 체결한 자
- 도내 지자체(의령, 함안, 창녕, 고성, 남해, 하동, 산청, 함양, 거창, 합천 등)에서 주택구입자금 대출이자 당해연도에 지원 받은 자
- 대출 용도가 주거 자금이 아닌 자(일반, 신용, 마이너스 대출 제외)
- 금융기관에서 대출을 받지 않은 자
- 그 밖에 신혼부부 주택구입 대출이자 지원사업에 적합하지 않다고 판단되는 경우","□ 신청방법  ※ 우편, fax 신청‧접수 불가
- (방문신청) 주소지 읍·면·동 행정복지센터 방문 신청 (토요일, 공휴일 제외)
- (온라인) 경남바로서비스(https://baro.gyeongnam.go.kr/)를 통한 신청
※ 신청인 : 신혼부부 중 대표 1인",공고문 참고,"□ 대상자 선정
○ 선정방법 : 자격요건 충족 신청자
※ 지원 금액 초과 시 우선순위 배점표에 따라 고배점순으로 선정
※ 동점자일 경우 우선순위
1. 자녀수가 많은 가구
2. 부부합산 연소득이 낮은 가구",https://baro.gyeongnam.go.kr/,https://www.gimhae.go.kr/03360/00023/00029.web?amode=view&not_ancmt_mgt_no=91361&section=01,null,김해시청 공동주택과(☎055-330-4315~6),-,-,읍․면․동 행정복지센터,-,-,공고문 참고,023020
364,R2024060523744,003002015014,지자체,고성군 뜰 안 맞춤형 청년주택 예비입주자 모집,고성군에서 직장을 다니거나 생활하는 청년에게 저렴하게 공급하는 (거실)공유형 임대주택,"□ 지원내용 
○ 입주일 : 공실발생시 순차 예정
○ 입주기간 : 계약일로부터 2년 (2년 추가 연장 가능)
○ 임대료 : 공고문 참고",□ 공급현황 : 총 6명(남여 각 3명),-,002004,"2024-06-05~2024-06-14
2024. 6. 5.(수) 09:00~ 6. 14.(금) 18:00",만 19세 ~ 45세,-,-,-,-,"□ 신청대상 
- 미혼 청년 (19~45세), 무주택자로서 1인 거주자
- 고성군 직장, 고성군에서 활동·생활하고자 하는 자
(단 맞춤형 청년주택 입주자 선정 후 계약일까지 고성군 주소이전 필수)",공고문 참고,공고문 참고,"□ 신청방법
- 방문 및 우편(도착기준) : 고성군청 1층 건축개발과 건축행정팀
- E-mail 신청 : (wow777@korea.kr","□ 제출서류
○ 공통
① 주민등록등본.초본(주소이력 포함) 각 1부 
② 입주신청서, 개인정보수집 이용 및 제공 동의서
※ 모든 서류는 제출일 최근 1주일 이내 발급분에 한함","□ 입주자 선정 기준: 신청자 추첨으로 결정(순위 추첨)
○ 신청자 수가 인원을 초과할 경우, 신청자 추첨 선정 
○ 예비 입주자는 기존 입주세대 계약만료 또는 계약해지 등으로 인해 공가세대 발생시 순위에따라공급함

□ 계약 일시 및 구비서류 안내
○ 계약 일시 : 입주자 선정일 이후 공실세대 발생시 별도 통보 
○ 계약 장소 : 고성군청 건축개발과(1층) 건축행정팀
○ 계약 체결시 구비서류 : ① 신분증(본인), ② 도장",null,https://www.goseong.go.kr/board/view.goseong?boardId=BBS_0000015&menuCd=DOM_000000103001014000&paging=ok&startPage=2&dataSid=5635695,null,고성군청 건축개발과 건축행정팀,-,-,주관기관과 동일,-,-,공고문 참고,023020
365,R2024060423726,003002009004,지자체,2024년 동해시 중소기업 육성자금 융자추천 및 이차보전사업,「동해시 지역경제 촉진 등에 관한 조례」시행규칙 제11조의 규정에 따라 2024년도 동해시 중소기업 육성자금 융자추천 및 이차보전 사업을 다음과 같이 공고합니다.,동해시의 융자추천 후 금융기관에서 받은 대출금액에 대해 2년간 3 ~ 3.5% 이차보전지원,-,2024. 1. ~ 12. (융자추천 한도액 소진 시까지),002004,"2024-01-01~2024-12-31
2024. 1. ~ 12. (융자추천 한도액 소진 시까지)",제한없음,-,-,-,-,관내 중소제조업체 및 소상공인,-,"□ 이차보전 지원 종료 후 만 2년이 경과하지 않은 업체
□ 융자추천 한도액을 넘은 업체
□ 금융기관으로부터 불량거래처로 규제중인 업체
□ 대기업에서 발행주식 총수 또는 출자총액의 50퍼센트 이상을 소유하고 있는 업체
□ 휴업‧폐업신고를 하였거나, 사실상 휴업‧폐업 중이라고 인정되는 업체
□ 국세 및 지방세를 체납 중인 업체
□ 사치‧향락, 사행성 및 소비성업체 등 조례취지에 부합되지 않는 업체","대출사전심사(업체⇔은행) ---> 신청·접수(업체⇒시) ---> 심사후 융자추천(시⇒업체,은행) ---> 대출실행(업체⇒은행) ---> 대출발생 및 상환내역통보(은행⇒시) ---> 이차보전금 청구·지급(은행⇔시)",첨부된 공고문 확인,매주 금요일,매주 월요일 ~ 목요일 / 동해시청 본관 4층 경제과 기업지원팀,https://www.dh.go.kr/www/selectBbsNttView.do?key=478&bbsNo=87&nttNo=178737&searchCtgry=&searchCnd=SJ&searchKrwd=%ec%9d%b4%ec%b0%a8%eb%b3%b4%ec%a0%84&integrDeptCode=&pageIndex=1,-,강원도 동해시,-,033-539-8984,강원도 동해시,-,033-539-8984,-,023040
366,R2024060423705,003002012004,지자체,청년 학자금대출 장기연체자 신용회복 지원사업,정읍시에서는 학자금대출 장기연체로 인하여 신용유의자로 등록된 지역 청년을 위해 다음과 같이 신용회복 지원 사업을 추진,"□ 정읍시 : 학자금대출 신용회복 지원을 위해 한국장학재단 분할 상환약정 체결시 필요한 초입금 지원(총 채무잔액의 5%, 한도 100만원)
□ 한국장학재단 : 분할상환약정체결, 신용도판단정보등록 해제, 지연배상금 감면",-,-,002004,"2024-03-28~2024-11-29
-",만 18세 ~ 45세,-,-,-,-,"□ 공고일 기준 18세 이상 45세 이하 청년
□ 공고일 기준 정읍시에 주민등록을 1년 이상 둔 자
□ 한국장학재단 학자금대출 장기연체로 신용유의자로 등록된 자",-,-,"□ 방문접수 : 정읍시청 2관 2층 일자리정책과 청년지원팀
□ 이메일 접수 : tpdud3557@korea.kr","□ 학자금대출 장기연체자 신용회복 지원 신청서 1부
□ 개인(신용)정보 수집 이용 및 제3자 제공 조회 동의서 1부
□ 주민등록초본 1부(최근 5년 이내 주소변동사항 포함)",-,"□ 방문접수 : 정읍시청 2관 2층 일자리정책과 청년지원팀
□ 이메일 접수 : tpdud3557@korea.kr",https://www.jeongeup.go.kr/board/view.jeongeup?boardId=BBS_0000012&menuCd=DOM_000000101001001000&orderBy=REGISTER_DATE%20DESC&paging=ok&startPage=1&searchType=DATA_TITLE&searchOperation=OR&keyword=%EC%8B%A0%EC%9A%A9%ED%9A%8C%EB%B3%B5&dataSid=1316079,-,전북 정읍시,-,063-539-8123,전북 정읍시,-,063-539-8123,-,023040
367,R2024060423724,003002008022,지자체,관외 대학생 주거안정비 지원사업(안성시),안성시 관외 대학생 주거안정비 지원,"❍ 지원내용 : 월세 또는 기숙사비 일부 지원
  - 최대 120만원 현금 지원(월 최대 20만원 기준)
  - 월세 선 납부 내역 확인 후 신청인 계좌입금
  - 2024년 1월분부터 월세 또는 기숙사비 납부액(선납부액) 지원",null,null,002004,"2024-02-01~2024-11-30
❍ 신청기간 : 2024. 2. 1. ~ 11. 30.",제한없음,-,-,-,"관내 고등학교, 특수학교를 졸업하고(검정고시 학력인정 포함) 관외 대학 진학한 자(재학, 휴학, 입학예정자)","❍ 사업대상 : 공고일(2024.1.26.)기준 아래 요건을 모두 충족하여야 함
(거주) 본인 또는 직계존속이 공고일 현재까지 계속하여 1년 이상 안성시에 주민등록을 두고 있는 자
(학업) 관내 고등학교, 특수학교를 졸업하고(검정고시 학력인정 포함) 관외 대학 진학한 자(재학, 휴학, 입학예정자)
(주택) 관외 소재 주택(기숙사)에 월세 또는 보증부월세 계약을 체결한 자 (임차보증금 5천만원 이하, 월세 60만원 이하) 학생 본인 명의 주택 임차계약에 한함
(소득) 가구당 기준중위소득 120% 이하(*2024년 기준중위소득 기준)",null,null,❍ 신청방법 : 주소지 읍·면·동 주민센터 또는 시청(미래교육과)으로 신청서 및 구비서류 제출(※우편 제출 가능),null,null,null,https://www.anseong.go.kr/youth/policy/view.do?mId=0201030000&idx=321&categoryId=2,https://www.anseong.go.kr/youth/bbs/view.do?bIdx=170764&ptIdx=433&mId=0403000000,경기도 안성시,null,null,경기도 안성시,null,null,❍ 문의: 읍면동 및 안성시청 미래교육과 교육정책팀(031-678-6834),023020
